time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],gimbalanglecommanded[deg],u0
116.29999999999767,21732.779577302903,57280.38736228065,513.8883413539379,914.4187087737663,2.683381394722333,0.0653244062676366,1.624582181083542,3761634.1320864116,5.817990183195414,0.1292886707376759
116.39999999999766,21784.125239039156,57371.74852089691,513.4566173625454,913.6115861626133,2.6898201058131717,0.06438711090838765,1.631039080763708,3761154.4466342493,5.755461734587831,0.12789914965750734
116.49999999999766,21835.427638889083,57463.02873885286,513.0239984992777,912.8021795595351,2.696165985407161,0.06345879593989864,1.637403504435807,3760674.761182087,5.692947529761044,0.126509945105801
116.59999999999765,21886.686690100032,57554.22779149222,512.590512109509,911.9905263936115,2.7024199356158203,0.06253950208659012,1.6436763605322369,3760195.0757299247,5.63047248264034,0.1251216107253409
116.69999999999764,21937.902308566885,57645.3454578671,512.1561846685175,911.1766637487801,2.708582862102543,0.06162926486722346,1.6498585604972824,3759715.3902777624,5.568060554971467,0.12373467899936594
116.79999999999764,21989.074412747563,57736.38152070265,511.7210418067899,910.3606283555032,2.7146556735801357,0.06072811477593843,1.6559510183073483,3759235.7048256,5.505734782315057,0.12234966182922348
116.89999999999763,22040.202923581037,57827.335766360964,511.28510833474184,909.5424565831598,2.7206392813259885,0.059836077458524095,1.661954650008088,3758756.019373438,5.443517299448164,0.12096705109884809
116.99999999999763,22091.287764407723,57918.20798480428,510.848408266861,908.7221844331316,2.726534598714392,0.05895317388403155,1.6678703732679854,3758276.3339212756,5.381429365171837,0.11958731922604081
117.09999999999762,22142.328860892252,58008.99796955753,510.41096484527475,907.8998475325458,2.732342540765575,0.058079420511834276,1.6736991069479479,3757796.6484691133,5.319491386540447,0.11821091970089882
117.19999999999762,22193.326140948528,58099.705517670394,509.97280056274946,907.0754811286465,2.7380640237109994,0.057214829454240404,1.6794417706864873,3757316.963016951,5.257722942528293,0.11683828761173984
117.29999999999761,22244.27953466704,58190.33042967877,509.53393718512564,906.2491200837616,2.7436999645744753,0.05635940863475885,1.6850992845000632,3756837.2775647887,5.19614280714129,0.11546984015869532
117.3999999999976,22295.18897424436,58280.87250956585,509.09439577319694,905.4207988708365,2.749251280768687,0.05551316194211938,1.6906725683981891,3756357.5921126264,5.134768971988103,0.11410597715529117
117.4999999999976,22346.054393914765,58371.3315647228,508.6541967040383,904.5905515695068,2.7547188897067016,0.05467608938014481,1.6961625420128927,3755877.906660464,5.073618668315439,0.11274708151812086
117.59999999999759,22396.875729883945,58461.70740590907,508.2133596917915,903.7584118626814,2.760103708428059,0.05384818721357111,1.7015701242421553,3755398.221208302,5.012708388531941,0.11139351974515424
117.69999999999759,22447.652920264736,58551.99984721243,507.7719038079148,902.9244130336114,2.7654066532390504,0.053029448109909824,1.706896232906936,3754918.5357561396,4.952053907214993,0.1100456423825554
117.79999999999758,22498.385905014828,58642.20870600877,507.32984750090554,902.0885879634184,2.7706286393667945,0.052219861277444754,1.7121417844214168,3754438.8503039773,4.891670301628148,0.10870378448062551
117.89999999999758,22549.07462587638,58732.333802921676,506.8872086155031,901.2509691290603,2.7757705806267396,0.05141941259945312,1.7173076934761131,3753959.164851815,4.831571971744623,0.1073682660387694
117.99999999999757,22599.719026317518,58822.37496178185,506.44400441138083,900.4115886017082,2.7808333891032135,0.05062808476473965,1.7223948727334806,3753479.4793996527,4.771772659798754,0.1060393924399723
